,Number of iterations,Number of cuts,Number of executions,Average error
482,182.0,1.0,182.0,7.409669883350067e-06
483,169.0,2.0,169.0,9.216278596203614e-05
484,207.0,1.0,207.0,7.454610521887006e-06
485,133.0,2.0,133.0,0.0001323408739267422
486,209.0,2.0,209.0,5.489987052865296e-05
487,200.0,1.0,200.0,8.297457264550001e-06
488,99.0,2.0,99.0,0.0005350377593885152
489,198.0,2.0,198.0,6.225393423219085e-05
490,140.0,2.0,140.0,0.00048306882874857234
491,289.0,2.0,289.0,6.208277195671041e-05
492,118.0,2.0,118.0,0.0003081718175949887
493,213.0,1.0,213.0,4.772390620313982e-06
494,209.0,1.0,209.0,3.3161463178221773e-06
495,221.0,1.0,221.0,3.455988313090519e-06
496,506.0,2.0,506.0,0.003655190844530103
497,166.0,1.0,166.0,3.6554369962221722e-06
498,535.0,2.0,535.0,0.0029402200279837858
499,166.0,1.0,166.0,9.577095199209823e-06
